"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2021","82,800","81,900","82,900","81,600","17.74M","0.49%"
"04/22/2021","82,400","82,800","83,000","82,400","8.15K","-0.24%"
"04/21/2021","82,600","83,400","83,500","82,500","0.44K","-1.55%"
"04/20/2021","83,900","83,300","84,000","83,200","4.40K","0.72%"
"04/19/2021","83,300","83,900","84,000","83,300","11.08K","-0.72%"
"04/18/2021","83,900","83,900","83,900","83,900","","0.00%"
"04/16/2021","83,900","84,700","84,700","83,600","15.34M","-0.24%"
"04/15/2021","84,100","83,700","84,500","83,400","1.01K","0.12%"
"04/14/2021","84,000","84,100","84,300","83,400","4.37K","0.00%"
"04/13/2021","84,000","83,000","84,500","82,900","1.05K","0.96%"
"04/12/2021","83,200","84,000","84,100","83,100","16.47K","-0.48%"
"04/11/2021","83,600","83,600","83,600","83,600","","0.00%"
"04/09/2021","83,600","84,700","84,900","83,400","17.79M","-1.30%"
"04/08/2021","84,700","85,700","85,700","84,100","19.17M","-1.05%"
"04/07/2021","85,600","86,100","86,200","85,400","5.60K","-0.47%"
"04/06/2021","86,000","86,100","86,200","85,100","10.26K","0.70%"
"04/05/2021","85,400","85,800","86,000","84,800","0.84K","0.71%"
"04/04/2021","84,800","84,800","84,800","84,800","","0.00%"
"04/02/2021","84,800","84,000","85,200","83,900","22.89M","2.29%"
"04/01/2021","82,900","82,400","83,000","82,000","0.93K","1.84%"
"03/31/2021","81,400","82,100","82,100","81,400","0.54K","-0.97%"
"03/30/2021","82,200","81,600","82,300","81,300","13.05M","0.74%"
"03/29/2021","81,600","81,700","81,700","81,000","9.87K","0.12%"
"03/28/2021","81,500","81,500","81,500","81,500","","0.00%"
"03/26/2021","81,500","81,400","81,600","81,000","12.73M","0.37%"
"03/25/2021","81,200","80,900","82,100","80,800","0.45K","0.25%"
"03/24/2021","81,000","81,100","81,600","80,700","14.93K","-0.98%"
"03/23/2021","81,800","82,500","82,800","81,800","5.98K","-0.24%"
"03/22/2021","82,000","82,000","82,300","81,700","12.55M","0.12%"
"03/21/2021","81,900","81,900","81,900","81,900","","0.00%"
"03/19/2021","81,900","82,100","82,500","81,800","15.69M","-1.21%"
"03/18/2021","82,900","82,800","83,800","82,600","2.15K","0.73%"
"03/17/2021","82,300","82,800","82,800","82,100","32.00K","-0.60%"
"03/16/2021","82,800","82,300","83,000","82,100","3.55K","1.22%"
"03/15/2021","81,800","82,800","82,900","81,800","0.40K","-1.21%"
"03/14/2021","82,800","82,800","82,800","82,800","","0.00%"
"03/12/2021","82,800","83,100","83,500","82,400","13.41M","0.98%"
"03/11/2021","82,000","81,000","82,500","81,000","0.96K","1.36%"
"03/10/2021","80,900","82,400","82,500","80,700","8.86K","-0.61%"
"03/09/2021","81,400","81,500","81,900","80,600","1.24K","-0.73%"
"03/08/2021","82,000","83,000","83,000","81,600","6.72K","-0.12%"
"03/07/2021","82,100","82,100","82,100","82,100","","0.00%"
"03/05/2021","82,100","81,100","82,600","81,100","20.35M","-0.36%"
"03/04/2021","82,400","82,700","83,100","82,200","8.75K","-1.90%"
"03/03/2021","84,000","83,400","84,000","82,800","3.80K","0.48%"
"03/02/2021","83,600","85,000","85,300","83,000","7.76K","1.33%"
"03/01/2021","82,500","82,500","82,500","82,500","","0.00%"
"02/26/2021","82,500","82,800","83,400","82,000","36.72M","-3.28%"
"02/25/2021","85,300","84,000","85,400","83,000","6.35K","4.02%"
"02/24/2021","82,000","81,900","83,600","81,400","0.98K","0.00%"
"02/23/2021","82,000","81,300","82,900","81,100","7.03K","-0.24%"
"02/22/2021","82,200","83,800","84,200","82,200","17.48K","-0.48%"
"02/21/2021","82,600","82,600","82,600","82,600","","0.00%"
"02/19/2021","82,600","82,300","82,800","81,000","25.47M","0.61%"
"02/18/2021","82,100","83,200","83,600","82,100","24.28K","-1.32%"
"02/17/2021","83,200","83,900","84,200","83,000","16.79K","-2.00%"
"02/16/2021","84,900","84,500","86,000","84,200","24.26K","0.83%"
"02/15/2021","84,200","83,700","84,500","83,400","0.80K","3.19%"
"02/14/2021","81,600","81,600","81,600","81,600","","0.00%"
"02/10/2021","81,600","82,600","82,600","81,600","22.58M","-1.33%"
"02/09/2021","82,700","84,000","84,800","82,700","5.17K","-0.36%"
"02/08/2021","83,000","83,800","84,200","83,000","2.14K","-0.60%"
"02/07/2021","83,500","83,500","83,500","83,500","","0.00%"
"02/05/2021","83,500","83,100","84,000","82,500","17.14M","1.21%"
"02/04/2021","82,500","83,500","83,800","82,100","2.51K","-2.48%"
"02/03/2021","84,600","84,800","85,400","83,400","8.89K","0.24%"
"02/02/2021","84,400","84,100","86,300","83,700","0.51K","1.69%"
"02/01/2021","83,000","81,800","83,400","81,000","1.45K","1.22%"
"01/31/2021","82,000","82,000","82,000","82,000","","0.00%"
"01/29/2021","82,000","84,500","85,000","82,000","36.70M","-2.03%"
"01/28/2021","83,700","83,400","85,600","83,300","2.27K","-2.22%"
"01/27/2021","85,600","86,700","87,700","85,600","25.96K","-1.27%"
"01/26/2021","86,700","88,800","89,200","86,500","6.49K","-3.02%"
"01/25/2021","89,400","87,100","89,900","86,400","25.11K","3.00%"
"01/24/2021","86,800","86,800","86,800","86,800","","0.00%"
"01/22/2021","86,800","89,000","89,700","86,800","30.43M","-1.48%"
"01/21/2021","88,100","87,500","88,600","86,500","5.95K","1.03%"
"01/20/2021","87,200","88,900","88,900","86,500","3.38K","0.23%"
"01/19/2021","87,000","84,600","88,000","83,600","7.56K","2.35%"
"01/18/2021","85,000","86,700","87,300","84,200","19.68K","-3.41%"
"01/17/2021","88,000","88,000","88,000","88,000","","0.00%"
"01/15/2021","88,000","89,800","91,800","88,000","33.12M","-1.90%"
"01/14/2021","89,700","88,800","90,000","88,700","8.26K","0.00%"
"01/13/2021","89,700","89,900","91,100","89,200","35.22K","-0.99%"
"01/12/2021","90,600","90,500","91,300","87,900","29.49K","-0.44%"
"01/11/2021","91,000","90,100","96,700","90,000","41.26K","2.48%"
"01/10/2021","88,800","88,800","88,800","88,800","","0.00%"
"01/08/2021","88,800","83,300","90,000","83,000","57.52M","7.12%"
"01/07/2021","82,900","82,800","84,200","82,700","32.47M","0.85%"
"01/06/2021","82,200","83,400","84,400","82,100","13.53K","-2.03%"
"01/05/2021","83,900","81,700","83,900","81,700","8.14K","1.08%"
"01/04/2021","83,000","81,000","84,300","80,300","24.25K","2.47%"
"12/30/2020","81,000","77,400","81,300","77,300","29.12M","3.45%"
"12/29/2020","78,300","78,800","78,900","77,300","12.86K","-0.51%"
"12/28/2020","78,700","79,000","80,100","78,300","31.84K","1.16%"
"12/27/2020","77,800","77,800","77,800","77,800","","0.00%"
"12/24/2020","77,800","74,100","78,800","74,000","32.32M","5.28%"
"12/23/2020","73,900","72,300","74,000","72,300","6.05K","2.21%"
"12/22/2020","72,300","72,500","73,200","72,200","0.89K","-0.96%"
"12/21/2020","73,000","73,100","73,400","72,000","1.65K","0.00%"
"12/20/2020","73,000","73,000","73,000","73,000","","0.00%"
"12/18/2020","73,000","73,300","73,700","73,000","17.38M","-0.41%"
"12/17/2020","73,300","73,500","73,700","72,600","1.69K","-0.68%"
"12/16/2020","73,800","74,200","74,500","73,400","0.66K","0.00%"
"12/15/2020","73,800","73,800","74,100","73,300","20.48M","0.00%"
"12/14/2020","73,800","73,600","74,500","73,200","6.44K","0.54%"
"12/13/2020","73,400","73,400","73,400","73,400","","0.00%"
"12/11/2020","73,400","73,500","73,800","73,100","18.42M","0.69%"
"12/10/2020","72,900","72,800","73,800","72,500","0.99K","-1.35%"
"12/09/2020","73,900","72,100","73,900","72,100","5.79K","3.07%"
"12/08/2020","71,700","72,300","72,900","71,600","4.53K","-1.65%"
"12/07/2020","72,900","72,400","73,500","72,000","6.47K","1.96%"
"12/06/2020","71,500","71,500","71,500","71,500","","0.00%"
"12/04/2020","71,500","70,400","72,100","70,100","27.84M","2.58%"
"12/03/2020","69,700","69,500","70,500","69,300","0.22K","0.29%"
"12/02/2020","69,500","68,400","69,900","68,300","27.83M","2.51%"
"12/01/2020","67,800","67,200","68,300","67,100","0.26K","1.65%"
"11/30/2020","66,700","68,400","68,600","66,700","39.86M","-2.20%"
"11/29/2020","68,200","68,200","68,200","68,200","","0.00%"
"11/27/2020","68,200","68,000","68,400","67,600","13.93M","0.29%"
"11/26/2020","68,000","66,300","68,000","66,100","2.15K","2.10%"
"11/25/2020","66,600","67,800","68,300","66,500","6.03K","-1.62%"
"11/24/2020","67,700","67,800","69,400","67,000","2.23K","0.30%"
"11/23/2020","67,500","64,800","67,800","64,800","1.02K","4.33%"
"11/22/2020","64,700","64,700","64,700","64,700","","0.00%"
"11/20/2020","64,700","63,900","65,200","63,900","14.84M","0.15%"
"11/19/2020","64,600","64,200","64,800","63,900","2.15K","-0.31%"
"11/18/2020","64,800","65,700","66,100","64,700","3.61K","-1.37%"
"11/17/2020","65,700","66,900","66,900","65,700","18.63K","-0.90%"
"11/16/2020","66,300","63,900","66,600","63,900","8.20K","4.91%"
"11/15/2020","63,200","63,200","63,200","63,200","","0.00%"
"11/13/2020","63,200","61,300","63,200","61,000","31.31M","3.61%"
"11/12/2020","61,000","60,900","61,400","60,700","0.55K","-0.49%"
